Freq,F0,F1,F2,F3,F4,F5
C2,-30.0,-18.7,-28.1,-21.2,-23.7,-33.3
Cs2,-18.5,-24.9,-18.7,-35.6,-24.5,-26.2
D2,-18.7,-26.4,-19.0,-36.4,-24.7,-27.8
Ds2,-14.0,-17.8,-23.4,-27.0,-31.9,-18.4
E2,-12.9,-18.2,-24.6,-26.4,-31.8,-18.7
F2,-14.5,-18.5,-25.1,-27.9,-32.1,-18.0
Fs2,-11.9,-21.6,-21.5,-26.6,-28.1,-23.8
G2,-13.3,-21.9,-22.6,-26.8,-28.5,-22.9
Gs2,-12.6,-15.7,-21.5,-24.2,-27.9,-26.0
A2,-13.5,-16.0,-20.6,-24.4,-28.3,-26.5
As2,-12.6,-12.3,-18.8,-27.7,-32.7,-32.1
B2,-12.8,-13.2,-19.0,-27.9,-32.9,-31.9
C3,-10.1,-19.7,-14.6,-18.9,-31.5,-33.4
Cs3,-10.4,-19.3,-14.0,-20.1,-32.4,-33.7
D3,-10.6,-20.6,-16.7,-22.2,-35.6,-28.6
Ds3,-11.3,-20.3,-16.6,-23.7,-35.8,-28.6
E3,-14.5,-8.4,-20.5,-17.1,-31.1,-24.5
F3,-14.9,-9.2,-19.8,-17.6,-33.1,-24.4
Fs3,-14.0,-10.7,-16.9,-33.4,-20.5,-39.0
G3,-14.1,-11.0,-17.6,-34.1,-20.6,-39.4
Gs3,-12.3,-18.7,-36.2,-21.4,-22.1,-33.0
A3,-12.4,-20.2,-37.3,-21.8,-23.4,-33.2
As3,-12.0,-20.4,-36.7,-21.8,-23.7,-33.7
B3,-10.5,-15.3,-26.8,-32.5,-28.0,-33.2
C4,-11.3,-9.8,-26.9,-21.0,-23.0,-30.6
Cs4,-11.5,-9.6,-26.9,-21.4,-23.5,-32.3
D4,-12.0,-11.7,-27.1,-32.3,-37.4,-37.1
Ds4,-12.3,-13.2,-27.3,-32.5,-38.1,-39.2
E4,-9.6,-12.9,-20.8,-26.2,-34.5,-31.0
F4,-10.6,-13.5,-20.8,-26.9,-35.1,-31.5
Fs4,-8.4,-16.3,-29.4,-32.0,-26.0,-43.3
G4,-8.7,-16.8,-29.6,-32.4,-26.2,-43.1
Gs4,-8.2,-18.2,-29.5,-23.0,-30.2,-32.5
A4,-9.6,-19.0,-29.8,-23.2,-30.9,-33.0
As4,-7.9,-25.5,-29.8,-27.0,-43.4,-39.2
B4,-8.4,-26.4,-30.0,-26.8,-43.5,-39.4
C5,-4.6,-34.7,-26.3,-29.7,-43.2,-41.3
Cs5,-5.4,-35.0,-27.1,-30.1,-44.5,-43.6
D5,-5.3,-35.5,-27.4,-30.5,-43.5,-43.9
Ds5,-6.5,-20.6,-39.9,-38.1,-40.2,-54.3
E5,-6.3,-20.1,-39.8,-38.0,-40.0,-54.3
F5,-7.1,-21.6,-40.4,-37.7,-40.5,-54.6
Fs5,-9.3,-32.0,-37.4,-44.6,-45.6,-54.5
G5,-10.0,-33.1,-37.1,-45.2,-45.6,-54.7
Gs5,-17.3,-23.0,-32.4,-41.7,-47.5,-52.6
A5,-17.5,-23.5,-33.0,-43.0,-49.2,-52.8
As5,-9.3,-24.5,-45.5,-54.5,-58.5,-69.4
B5,-9.8,-25.0,-44.3,-54.4,-58.2,-69.7
C6,-13.5,-34.7,-41.4,-54.1,-55.7,-68.0
Cs6,-14.3,-35.2,-41.8,-56.5,-58.4,-68.6
D6,-14.7,-35.9,-42.6,-57.6,-59.8,-68.8
Ds6,-14.2,-30.4,-51.6,-52.8,-62.6,-71.2
E6,-14.7,-31.2,-49.2,-52.5,-62.1,-71.8
F6,-12.5,-46.5,-53.0,-57.7,-63.3,-77.7
Fs6,-13.4,-45.9,-53.6,-59.0,-65.0,-78.1
G6,-14.3,-42.8,-50.5,-63.7,-73.2,-78.9
Gs6,-14.4,-41.4,-50.4,-64.1,-73.0,-77.2
A6,-15.8,-52.6,-62.4,-66.5,-75.9,-82.5
