freq,F0,F1,F2,F3,F4,F5
C4,261.626,523.252,784.878,1046.504,1308.13,1569.756
Cs4,277.183,554.366,831.549,1108.732,1385.915,1663.098
D4,293.665,587.33,880.995,1174.66,1468.325,1761.99
Ds4,311.127,622.254,933.381,1244.508,1555.635,1866.762
E4,329.628,659.256,988.884,1318.512,1648.14,1977.768
F4,349.228,698.456,1047.684,1396.912,1746.14,2095.368
Fs4,369.994,739.988,1109.982,1479.976,1849.97,2219.964
G4,391.995,783.99,1175.985,1567.98,1959.975,2351.97
Gs4,415.305,830.61,1245.915,1661.22,2076.525,2491.83
A4,440.000,880.000,1320.000,1760.000,2200.000,2640.000
As4,466.164,932.328,1398.492,1864.656,2330.82,2796.984
B4,493.883,987.766,1481.649,1975.532,2469.415,2963.298
C5,523.251,1046.502,1569.753,2093.004,2616.255,3139.506
Cs5,554.365,1108.73,1663.095,2217.46,2771.825,3326.19
D5,587.330,1174.660,1761.990,2349.320,2936.650,3523.980
Ds5,622.254,1244.508,1866.762,2489.016,3111.27,3733.524
E5,659.255,1318.51,1977.765,2637.02,3296.275,3955.53
F5,698.456,1396.912,2095.368,2793.824,3492.28,4190.736
Fs5,739.989,1479.978,2219.967,2959.956,3699.945,4439.934
G5,783.991,1567.982,2351.973,3135.964,3919.955,4703.946
Gs5,830.609,1661.218,2491.827,3322.436,4153.045,4983.654
A5,880.000,1760.000,2640.000,3520.000,4400.000,5280.000
As5,932.328,1864.656,2796.984,3729.312,4661.64,5593.968
B5,987.767,1975.534,2963.301,3951.068,4938.835,5926.602
C6,1046.502,2093.004,3139.506,4186.008,5232.51,6279.012
