dB,F0,F1,F2,F3,F4,F5
C4,-13.9,-17.6,-32.0,-25.2,-26.8,-35.5
Cs4,-13.5,-13.5,-34.4,-24.1,-27.1,-36.3
D4,-15.9,-14.2,-30.8,-36.2,-37.4,-42.1
Ds4,-14.2,-16.5,-29.6,-38.0,-35.7,-39.0
E4,-15.8,-18.1,-27.5,-29.2,-37.4,-34.9
F4,-13.7,-16.7,-23.9,-31.8,-36.4,-35.0
Fs4,-9.9,-21.3,-35.0,-35.9,-29.4,-43.5
G4,-13.0,-20.8,-33.7,-35.6,-30.8,-44.6
Gs4,-11.0,-24.2,-34.5,-26.9,-34.4,-38.2
A4,-11.0,-21.5,-31.5,-26.8,-34.6,-42.0
As4,-10.0,-29.8,-35.7,-29.2,-45.3,-44.6
B4,-10.6,-31.9,-34.4,-29.7,-47.4,-43.8
C5,-11.4,-35.3,-29.5,-33.9,-45.3,-47.3
Cs5,-7.7,-36.3,-30.5,-33.7,-45.6,-48.3
D5,-6.9,-36.5,-29.9,-35.1,-50.0,-50.0
Ds5,-9.7,-23.4,-41.8,-40.0,-42.9,-59.7
E5,-10.0,-25.3,-40.8,-41.5,-46.5,-60.3
F5,-9.6,-26.2,-40.9,-43.7,-44.3,-62.5
Fs5,-12.5,-35.1,-39.6,-48.7,-49.4,-59.9
G5,-12.4,-33.8,-42.1,-49.3,-52.7,-60.9
Gs5,-22.5,-25.4,-37.0,-48.4,-57.1,-65.2
A5,-21.5,-27.2,-37.0,-47.9,-58.2,-64.1
As5,-13.1,-29.0,-45.4,-59.0,-64.2,-76.8
B5,-14.8,-27.5,-47.2,-59.5,-64.5,-77.3
C6,-15.7,-36.2,-43.0,-59.3,-63.6,-76.6
