freq,F0,F1,F2,F3,F4,F5
C4,262,526,786,1050,1312,1574
Cs4,277,555,833,1108,1392,1666
D4,291,586,882,1178,1471,1771
Ds4,312,622,931,1247,1560,1874
E4,327,661,989,1319,1657,1993
F4,353,701,1050,1399,1750,2111
Fs4,368,742,1106,1485,1863,2237
G4,395,786,1178,1571,1969,2370
Gs4,412,832,1244,1667,2090,2520
A4,441,881,1318,1770,2218,2672
As4,465,928,1398,1873,2346,2832
B4,494,983,1484,1989,2484,3001
C5,524,1048,1573,2104,2645,3185
Cs5,554,1106,1665,2229,2800,3380
D5,585,1175,1768,2361,2965,3574
Ds5,622,1244,1872,2510,3155,3805
E5,661,1316,1981,2655,3339,4038
F5,701,1398,2096,2818,3543,4279
Fs5,742,1484,2228,2993,3768,4554
G5,786,1571,2362,3172,3990,4825
Gs5,829,1662,2509,3364,4241,5127
A5,880,1766,2655,3562,4490,5432
As5,930,1871,2820,3778,4786,5803
B5,990,1981,2990,3996,5070,6151
C6,1048,2097,3169,4269,5404,6557
